Champaign-Urbana,893,2395,609,1727,721,1122,923,1316,1079,1566,1210,719,1744,2194,710,5311,1131,2451,909,1088,29818,False,University of Illinois
Los Angeles,12443,2865,8968,4962,3965,12815,3427,3807,10137,3642,11550,10454,12761,3372,1357,12405,11518,4054,4793,1781,141076,True,Los Nettos
Champaign-Urbana,1664,2996,768,2288,945,2423,1363,1763,1830,3642,1719,1349,2347,3070,914,4311,1405,7119,1777,986,44679,True,University of Illinois
Chapel Hill,2137,3721,869,6664,2237,6171,3089,5213,3976,4402.167883211679,2934,1738,3655,4920,1653,5078,4808,5049,3214,3452,74980.16788321169,True,AT&T U-verse
Barcelona,7529,12040,17285,5650,10964,14087,8186,18239,14065,8018,2145,9112,13307,11896,15259,28823,10173,11654,8655,8253,235340,True,Telefonica de Espana
Champaign-Urbana,5953,9213,1860,7367,12005,8847,4824,7200,5275,9544,5997,8572,7388,6730,3145,8533,1867,9763,7635,3222,134940,True,AT&T U-verse
Mountain View,2856,2434,744,4353,1844,2531,1206,4154,3038,4508,3495,1912,5272,3217,1446,4149,2531,4566,4260,2038,60554,False,Google
Champaign-Urbana,1878,3207,719,3366,2957,3596,2162,3642,3971,3642,1977,1548,4267,3214,1301,3477,1690,2648,3098,1313,53673,True,AT&T U-verse
Dehradun,2271,2796,5729,4262,2579,3517,6581,9255,4212,9745,12783,10539,10362,2882,1498,7678,1867,9032,3133,4390,115111,True,Bharti Broadband
Champaign-Urbana,12035,5650,10762,4962,12545,9267,3777,7917,4838,3642,2145,2353,2867,2882,2265,13081,1867,7821,4480,3379,118535,True,AT&T U-verse
Champaign-Urbana,5905,7204,1916,6294,4038,9207,5521,8377,4932,8493,6528,3488,6860,6574,2031,5968,10360,8810,4122,3360,119988,False,University of Illinois
Champaign-Urbana,1887,2620,701,3705,1869,3661,2333,2577,5222,3642,2364,1794,3858,3232,1415,4166,1982,3328,4841,1487,56684,True,AT&T U-verse
Champaign-Urbana,1966,2796,706,4790,2007,3836,2580,2520,5143,3642,2111,1646,3074,2659,1079,3934,1609,3368,3133,1137,53736,True,AT&T U-verse
Los Angeles,3187,2886,796,7531,1387,3018,967,9071,1560,3642,1503,1164,2712,1908,1948,2891,1366,3266,3032,2235,56070,True,Los Nettos
Menlo Park,3090,2392,2890,3779,1647,3623,2038,3285,5152,11533,4344,4235,5643,2547,1474,3028,2560,5305,3599,1401,73565,False,Comcast Cable
Champaign-Urbana,1658,2158,680,3641,2403,3363,2046,2484,5817,3642,2049,1506,2890,2585,1084,4103,1683,2611,3133,990,50526,True,AT&T U-verse
Thane,6238,8007,1542,11247,6146,5339,3934,3807,4195,8683,7449,5381,7729,7865,8863,4266,5400,7302,8820,5817,128030,True,In2cable (India) Ltd.
Champaign-Urbana,1859,2719,1392,5650,1888,2533,2343,3273,2794,4419,3986,2303,8702,3373,2158,4361,2459,2813,3086,2882,64993,False,University of Illinois
Champaign-Urbana,1889,2334,709,3622,1726,3359,1916,2402,5387,3642,2309,1517,3120,2882,1117,3743,1606,3353,2989,1095,50717,True,AT&T U-verse
Champaign-Urbana,2309,2424,684,3628,2257,3225,2077,2302,4380,3642,2100,1476,2989,2655,1024,4918,1598,2160,2267,1282,49397,True,AT&T U-verse
Champaign-Urbana,2081,2324,609,3801,2095,3342,1837,2223,3967,3642,1937,1226,3065,2256,1028,4023,1351,2371,2896,839,46913,True,AT&T U-verse
Champaign-Urbana,8418,8255,543,6905,3619,8702,3658,11808,5028,3642,12363,3362,6511,5694,2203,8589,12657,8935,4645,3508,129045,True,AT&T U-verse
Santarcangelo di Romagna,2944,4127,585,4021,2336,2666,3722,2493,6853,4593,1806,2626,2819,2281,2624,4839,2676,3581,4179,853,62624,False,Made Network Srl
Champaign-Urbana,1322,4105,756,3138,978,1627,1633,1939,2020,3642,3536,1579,3604,2047,877,4076,1322,2068,1658,1474,43401,True,University of Illinois
Deventer,2121,3077,629,4983,3623,3707,2876,4315,4351,2635,2899,1826,1543,2893,1467,5634,2755,2963,1858,943,57098,True,SOLCON
Chandigarh,2271,2796,10796,13190,2832,7599,6148,3199,4198,13179,2145,12473,3014,2882,5224,16342,9136,3328,3133,4290,128175,True,Airtel Broadband
Los Angeles,5907,3843,1196,6475,2692,4562,3137,3417,6069,4210,3430,1996,3077,3954,2304,4345,2826,5342,3135,2081,73998,False,T-Mobile USA
Champaign-Urbana,2898,3343,2999,6016,1380,5212,1247,2573,2746,3501,3187,1823,2917,2942,1433,4208,1867,4484,2724,1603,59103,True,University of Illinois
Champaign-Urbana,3450,6720,721,7638,3069,8760,3549,7463,4572,3642,5304,1373,6621,8029,1953,3685,4752,6176,3257,3156,93890,True,AT&T U-verse
Amsterdam,2145,3941,529,3031,485,2917,2226,2679,3956,2652,1596,1609,1698,2882,1093,3921,1508,2837,1552,785,44042,True,Equinix Netherlands
Champaign-Urbana,2550,2865,1750,4625,2579,4211,2348,5342,9198,3642,2047,1830,2537,5918,1357,5188,2241,4827,3204,1288,69547,False,Comcast Business Communications
Los Angeles,11782,2865,10762,6904,2832,14490,10076,3807,9322,3642,11483,7881,2537,13303,1357,4652,12086,4054,3441,7857,145133,True,Los Nettos
Champaign-Urbana,7228,6847,568,6357,5622,9000,3555,7878,4496,3642,5524,2352,7561,9052,3256,9363,8291,7249,5015,3423,116279,True,AT&T U-verse
Champaign-Urbana,1400,1955,1574,3234,1294,2625,1917,2301,2613,2772,1657,1887,2567,2986,1416,3790,1929,5272,1937,1639,46765,False,University of Illinois
Champaign-Urbana,13829,8482,2955,5650,2841,3707,6892,3807,4195,3642,2145,2303,9981,12577,12010,7267,6774,11849,3441,10404,134751,True,AT&T U-verse
Somerville,1241,1506,826,2136,850,5498,1161,1636,1508,3535,1245,1004,1620,2243,1300,4568,2430,2622,1980,739,39648,False,RCN
Durham,3139,2276,2532,4200,1310,1495,2122,6060,3895,2165,1906,1169,1963,4590,1479,4378,3264,3328,2776,1049,55096,True,Duke University
Champaign-Urbana,1301,1762,1346,4467,1146,3155,1773,2384,2516,3102,1526,1567,2923,2546,1393,3887,1647,2543,2477,1650,45111,False,University of Illinois
Vancouver,2516,3113,837,3875,3245,4101,2245,3579,8749,3374,3732,2877,2545,2368,1346,3682,2876,3662,6711,1513,66946,False,Telus Communications
oslo,4332,4416,1414,5771,3143,4314,4076,3309,10187,4930,3705,3463,3836,3823,2248,4702,6171,5444,3562,1424,84270,False,Telenor
Chandigarh,2271,2796,4667,4160,2832,3623,2348,3199,4198,3642,2145,1813,3014,2882,13478,4131,1867,3328,3133,8657,78184,True,Airtel Broadband
Noel N5,1097,2053,608,2117,957,1479,986,2399,1698,1927,1290,1124,2592,1912,887,2879,3827,3089,1400,912,35233,False,University of Illinois
Dehradun,2271,2796,789,11657,6102,3510,3409,9499,4212,9097,10414,2609,8789,8782,2861,4131,11273,8405,3133,2949,116688,True,Bharti Broadband
Woodstock,1601,2008,797,3870,1417,7766,1880,3317,3225,3159,2644,1527,3291,2305,1241,3467,1867,2890,2077,1610,51959,False,AT&T U-verse
Los Angeles,1534,1662,492,3493,908,1428,840,1627,4031,3642,1181,1029,2139,1396,860,4499,1217,1782,1762,645,36167,True,Los Nettos
